тип_кредитной_организации,название_организации,дата_выдачи_кредита,сумма_выдачи,сумма_погашенного,сумма_задолженности,статус_кредита,дата_статуса
микрокредит,микрокредитная,2020-08-18,2000,2140,0,счет закрыт,2020-08-25
микрокредит,займер,2020-08-11,6000,6672,0,счет закрыт,2020-08-25
микрокредит,микроклад,2020-08-06,5000,5250,0,счет закрыт,2020-08-10
микрокредит,срочноденьги,2020-08-06,5000,5950,0,счет закрыт,2020-08-25
микрокредит,микрокредитная,2020-08-06,5208,5468,0,счет закрыт,2020-08-11
потребительский кредит,совкомбанк,2020-08-06,9999,12729,0,счет закрыт,2021-02-07
микрокредит,турбозайм,2020-08-06,5000,5950,0,счет закрыт,2020-08-25
микрокредит,мани мен,2020-08-02,3000,3240,0,счет закрыт,2020-08-10
микрокредит,займер,2020-07-30,2000,2220,0,счет закрыт,2020-08-10
микрокредит,турбозайм,2020-07-27,5000,5050,0,счет закрыт,2020-07-28
микрокредит,микрокредитная,2020-07-27,2646,2672,0,счет закрыт,2020-07-28
микрокредит,мани мен,2020-07-26,3000,3060,0,счет закрыт,2020-07-28
микрокредит,займер,2020-07-23,3000,3150,0,счет закрыт,2020-07-28
микрокредит,микрокредитная,2020-07-16,3221,3253,0,счет закрыт,2020-07-17
микрокредит,займер,2020-07-12,7500,7875,0,счет закрыт,2020-07-17
микрокредит,мани мен,2020-06-25,16000,18400,0,счет закрыт,2020-07-10
микрокредит,микрокредитная,2020-06-20,5000,6000,0,счет закрыт,2020-07-10
микрокредит,турбозайм,2020-06-04,5000,6816,0,счет закрыт,2020-07-10
микрокредит,мани мен,2020-05-25,19000,23846,0,счет закрыт,2020-06-25
микрокредит,займер,2020-05-12,7000,10589,0,счет закрыт,2020-07-11
микрокредит,займер,2020-04-11,3500,3570,0,счет закрыт,2020-04-13
микрокредит,мани мен,2020-04-10,4000,4120,0,счет закрыт,2020-04-13
микрокредит,займер,2020-04-03,8500,8840,0,счет закрыт,2020-04-07
микрокредит,мани мен,2020-04-02,10000,10500,0,счет закрыт,2020-04-07
микрокредит,дзп-центр,2019-10-18,3980,7040,0,счет закрыт,2020-02-17
микрокредит,займ онлайн,2019-10-15,10000,20600,0,счет закрыт,2020-01-24
микрокредит,мани мен,2019-08-14,6500,18794,0,счет закрыт,2020-02-15
микрокредит,микроклад,2019-07-30,6000,6824,0,счет закрыт,2019-08-13
микрокредит,микрокредитная,2019-07-29,8640,9850,0,счет закрыт,2019-08-12
микрокредит,турбозайм,2019-07-29,4000,4560,0,счет закрыт,2019-08-12
микрокредит,займ онлайн,2019-07-29,8500,10880,0,счет закрыт,2019-08-12
микрокредит,профимани,2019-07-28,5900,6844,0,счет закрыт,2019-08-12
микрокредит,мани мен,2019-07-27,29500,34220,0,счет закрыт,2019-08-12
микрокредит,займер,2019-07-10,9500,12650,0,счет закрыт,2019-08-12
микрокредит,дзп-центр,2019-07-10,5000,8000,0,счет закрыт,2019-11-26
микрокредит,смсфинанс,2019-07-07,4000,6078,0,счет закрыт,2019-08-12
микрокредит,смсфинанс,2019-07-07,4000,6018,0,счет закрыт,2019-08-12
микрокредит,займер,2019-06-26,2000,2420,0,счет закрыт,2019-07-10
микрокредит,мани мен,2019-06-25,3600,3654,0,счет закрыт,2019-06-26
микрокредит,займер,2019-06-19,2000,2210,0,счет закрыт,2019-06-26
микрокредит,смсфинанс,2019-05-13,4000,6228,0,счет закрыт,2019-06-17
микрокредит,лайм-займ,2019-05-10,5000,8472,0,счет закрыт,2019-06-17
микрокредит,смсфинанс,2019-05-08,7000,10694,0,счет закрыт,2019-06-17
микрокредит,лайм-займ,2019-05-08,8100,9072,0,счет закрыт,2019-05-08
микрокредит,займер,2019-05-08,7000,11238,0,счет закрыт,2019-06-17
микрокредит,смсфинанс,2019-05-04,8000,9112,0,счет закрыт,2019-05-08
микрокредит,займер,2019-05-02,5000,5450,0,счет закрыт,2019-05-08
микрокредит,смсфинанс,2019-04-26,5500,6304,0,счет закрыт,2019-04-29
микрокредит,лайм-займ,2019-04-26,10000,11650,0,счет закрыт,2019-04-29
микрокредит,смсфинанс,2019-04-20,5000,5680,0,счет закрыт,2019-04-20
микрокредит,займер,2019-04-20,5500,5582,0,счет закрыт,2019-04-20
микрокредит,займер,2019-04-20,6500,7377,0,счет закрыт,2019-04-29
микрокредит,лайм-займ,2019-04-19,5000,5675,0,счет закрыт,2019-04-20
микрокредит,займер,2019-04-16,7000,7105,0,счет закрыт,2019-04-16
микрокредит,лайм-займ,2019-04-16,6700,7504,0,счет закрыт,2019-04-16
микрокредит,смсфинанс,2019-04-15,6500,7292,0,счет закрыт,2019-04-16
микрокредит,лайм-займ,2019-04-14,11500,13052,0,счет закрыт,2019-04-15
микрокредит,смсфинанс,2019-04-14,4500,5142,0,счет закрыт,2019-04-15
микрокредит,займер,2019-04-13,4500,4567,0,счет закрыт,2019-04-13
микрокредит,займер,2019-04-13,7000,7210,0,счет закрыт,2019-04-15
микрокредит,лайм-займ,2019-04-13,7000,7840,0,счет закрыт,2019-04-13
микрокредит,займер,2019-04-11,6500,6597,0,счет закрыт,2019-04-11
микрокредит,лайм-займ,2019-04-08,12000,13440,0,счет закрыт,2019-04-08
микрокредит,смсфинанс,2019-04-08,4000,4240,0,счет закрыт,2019-04-08
микрокредит,займер,2019-04-01,3000,3045,0,счет закрыт,2019-04-02
микрокредит,мани мен,2019-04-01,10100,10100,0,счет закрыт,2019-04-01
