type of credit institution,сredit institution name,date of loan issue,loan amount(RUB),loan repayment amount(RUB),loan amount owed(RUB),loan status,status date
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",15-10-2020,RUB 4500,RUB 4590,RUB 0,Счет закрыт,17-10-2020
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",14-10-2020,RUB 23000,RUB 23230,RUB 0,Счет закрыт,15-10-2020
Микрокредит,"ООО МФК """"ЧЕСТНОЕ СЛОВО""""""",13-10-2020,RUB 10000,RUB 12900,RUB 0,Счет закрыт,11-11-2020
Микрокредит,"ООО МКК """"ДЗП-Центр""""""",12-10-2020,RUB 12440,RUB 18612,RUB 0,Счет закрыт,11-11-2020
Микрокредит,"ООО МФК """"Займер""""""",12-10-2020,RUB 15000,RUB 15450,RUB 0,Счет закрыт,15-10-2020
Микрокредит,"ООО МФК """"Займер""""""",12-10-2020,RUB 15000,RUB 15150,RUB 0,Счет закрыт,12-10-2020
Микрокредит,ООО МКК ТУРБОЗАЙМ,12-10-2020,RUB 25000,RUB 25750,RUB 0,Счет закрыт,15-10-2020
Микрокредит,ООО «МФК «ЮПИТЕР 6»,12-10-2020,RUB 3000,RUB 3029,RUB 0,Счет закрыт,12-10-2020
Микрокредит,ООО «МФК «ЮПИТЕР 6»,12-10-2020,RUB 3000,RUB 3090,RUB 0,Счет закрыт,15-10-2020
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",12-10-2020,RUB 7000,RUB 7140,RUB 0,Счет закрыт,14-10-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,12-10-2020,RUB 9500,RUB 12065,RUB 0,Счет закрыт,11-11-2020
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",11-10-2020,RUB 20000,RUB 20200,RUB 0,Счет закрыт,12-10-2020
Микрокредит,"ООО МКК """"ДЗП-Центр""""""",11-10-2020,RUB 11200,RUB 13400,RUB 0,Счет закрыт,12-10-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",11-10-2020,RUB 5500,RUB 5555,RUB 0,Счет закрыт,12-10-2020
Микрокредит,"ООО МКК """"Микроклад""""""",11-10-2020,RUB 9000,RUB 9090,RUB 0,Счет закрыт,12-10-2020
Микрокредит,ООО МКК ТУРБОЗАЙМ,11-10-2020,RUB 20000,RUB 20200,RUB 0,Счет закрыт,12-10-2020
Микрокредит,"ООО МФК """"ЧЕСТНОЕ СЛОВО""""""",11-10-2020,RUB 10000,RUB 10100,RUB 0,Счет закрыт,12-10-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,11-10-2020,RUB 13000,RUB 13130,RUB 0,Счет закрыт,12-10-2020
Микрокредит,ООО МКК ЗАЙМ-ЭКСПРЕСС,11-10-2020,RUB 7500,RUB 7575,RUB 0,Счет закрыт,12-10-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",07-10-2020,RUB 30000,RUB 30900,RUB 0,Счет закрыт,10-10-2020
Микрокредит,ООО «МФК «ЮПИТЕР 6»,07-10-2020,RUB 2000,RUB 2058,RUB 0,Счет закрыт,10-10-2020
Микрокредит,"ООО МФК """"ЧЕСТНОЕ СЛОВО""""""",06-10-2020,RUB 5500,RUB 5720,RUB 0,Счет закрыт,10-10-2020
Микрокредит,"ООО МКК """"ДЗП-Центр""""""",04-10-2020,RUB 8140,RUB 10280,RUB 0,Счет закрыт,10-10-2020
Микрокредит,ООО МКК ТУРБОЗАЙМ,04-10-2020,RUB 18000,RUB 19080,RUB 0,Счет закрыт,10-10-2020
Микрокредит,"ООО МКК """"Срочноденьги""""""",04-10-2020,RUB 5800,RUB 6148,RUB 0,Счет закрыт,10-10-2020
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",04-10-2020,RUB 5000,RUB 5000,RUB 0,Счет закрыт,10-10-2020
Микрокредит,ООО МКК ЗАЙМ-ЭКСПРЕСС,04-10-2020,RUB 2000,RUB 2120,RUB 0,Счет закрыт,10-10-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,02-10-2020,RUB 4000,RUB 4320,RUB 0,Счет закрыт,10-10-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",01-10-2020,RUB 5000,RUB 5300,RUB 0,Счет закрыт,07-10-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,29-09-2020,RUB 1500,RUB 1515,RUB 0,Счет закрыт,30-09-2020
Микрокредит,"ООО МКК """"Срочноденьги""""""",28-09-2020,RUB 4800,RUB 4896,RUB 0,Счет закрыт,30-09-2020
Микрокредит,ООО «Финанби»,12-09-2020,RUB 3000,RUB 3540,RUB 0,Счет закрыт,30-09-2020
Микрокредит,ООО «МФК «ЮПИТЕР 6»,05-09-2020,RUB 2000,RUB 2062,RUB 0,Счет закрыт,07-10-2020
Микрокредит,"ООО МКК """"ДЗП-Центр""""""",01-09-2020,RUB 7290,RUB 11162,RUB 0,Счет закрыт,28-09-2020
Микрокредит,ООО МКК ТУРБОЗАЙМ,01-09-2020,RUB 9000,RUB 11430,RUB 0,Счет закрыт,28-09-2020
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",01-09-2020,RUB 4500,RUB 5727,RUB 0,Счет закрыт,28-09-2020
Микрокредит,"ООО МКК """"Микроклад""""""",31-08-2020,RUB 5000,RUB 6500,RUB 0,Счет закрыт,28-09-2020
Микрокредит,"ООО МКК """"Срочноденьги""""""",31-08-2020,RUB 4800,RUB 6144,RUB 0,Счет закрыт,28-09-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,31-08-2020,RUB 2000,RUB 2500,RUB 0,Счет закрыт,28-09-2020
Микрокредит,"ООО МФК """"Займер""""""",29-08-2020,RUB 15000,RUB 21300,RUB 0,Счет закрыт,10-10-2020
Микрокредит,ООО МКК ЗАЙМ-ЭКСПРЕСС,23-08-2020,RUB 2000,RUB 2040,RUB 0,Счет закрыт,25-08-2020
Микрокредит,"ООО МКК """"ДЗП-Центр""""""",21-08-2020,RUB 2720,RUB 3440,RUB 0,Счет закрыт,25-08-2020
Микрокредит,"ООО МКК """"Микроклад""""""",18-08-2020,RUB 3000,RUB 3300,RUB 0,Счет закрыт,25-08-2020
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",18-08-2020,RUB 4000,RUB 4000,RUB 0,Счет закрыт,25-08-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,18-08-2020,RUB 2000,RUB 2140,RUB 0,Счет закрыт,25-08-2020
Микрокредит,"ООО МФК """"Займер""""""",11-08-2020,RUB 6000,RUB 6672,RUB 0,Счет закрыт,25-08-2020
Микрокредит,"ООО МКК """"Микроклад""""""",06-08-2020,RUB 5000,RUB 5250,RUB 0,Счет закрыт,10-08-2020
Микрокредит,"ООО МКК """"Срочноденьги""""""",06-08-2020,RUB 5000,RUB 5950,RUB 0,Счет закрыт,25-08-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,06-08-2020,RUB 5208,RUB 5468,RUB 0,Счет закрыт,11-08-2020
Потребит.кредит,"ПАО """"Совкомбанк""""""",06-08-2020,RUB 9999,RUB 12729,RUB 0,Счет закрыт,07-02-2021
Микрокредит,ООО МКК ТУРБОЗАЙМ,06-08-2020,RUB 5000,RUB 5950,RUB 0,Счет закрыт,25-08-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",02-08-2020,RUB 3000,RUB 3240,RUB 0,Счет закрыт,10-08-2020
Микрокредит,"ООО МФК """"Займер""""""",30-07-2020,RUB 2000,RUB 2220,RUB 0,Счет закрыт,10-08-2020
Микрокредит,ООО МКК ТУРБОЗАЙМ,27-07-2020,RUB 5000,RUB 5050,RUB 0,Счет закрыт,28-07-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,27-07-2020,RUB 2646,RUB 2672,RUB 0,Счет закрыт,28-07-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",26-07-2020,RUB 3000,RUB 3060,RUB 0,Счет закрыт,28-07-2020
Микрокредит,"ООО МФК """"Займер""""""",23-07-2020,RUB 3000,RUB 3150,RUB 0,Счет закрыт,28-07-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,16-07-2020,RUB 3221,RUB 3253,RUB 0,Счет закрыт,17-07-2020
Микрокредит,"ООО МФК """"Займер""""""",12-07-2020,RUB 7500,RUB 7875,RUB 0,Счет закрыт,17-07-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",25-06-2020,RUB 16000,RUB 18400,RUB 0,Счет закрыт,10-07-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,20-06-2020,RUB 5000,RUB 6000,RUB 0,Счет закрыт,10-07-2020
Микрокредит,ООО МКК ТУРБОЗАЙМ,04-06-2020,RUB 5000,RUB 6816,RUB 0,Счет закрыт,10-07-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",25-05-2020,RUB 19000,RUB 23846,RUB 0,Счет закрыт,25-06-2020
Микрокредит,"ООО МФК """"Займер""""""",12-05-2020,RUB 7000,RUB 10589,RUB 0,Счет закрыт,11-07-2020
Микрокредит,"ООО МФК """"Займер""""""",11-04-2020,RUB 3500,RUB 3570,RUB 0,Счет закрыт,13-04-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",10-04-2020,RUB 4000,RUB 4120,RUB 0,Счет закрыт,13-04-2020
Микрокредит,"ООО МФК """"Займер""""""",03-04-2020,RUB 8500,RUB 8840,RUB 0,Счет закрыт,07-04-2020
